frame,t,px,py,pz,qw,qx,qy,qz,jaw_open
0,19.08697,0.01889566,0.02360783,0,1, 0, 0, 0,1
1,19.13216,0.01889566,0.02360783,0,1, 0, 0, 0,1
2,19.15711,0.01889566,0.02360783,0,1, 0, 0, 0,1
3,19.18306,0.01889566,0.02360783,0,1, 0, 0, 0,1
4,19.2054,0.01889566,0.02360783,0,1, 0, 0, 0,1
5,19.22837,0.01889566,0.02360783,0,1, 0, 0, 0,1
6,19.25178,0.01889566,0.02360783,0,1, 0, 0, 0,1
7,19.27917,0.01889566,0.02360783,0,1, 0, 0, 0,1
8,19.30593,0.01889566,0.02360783,0,1, 0, 0, 0,1
9,19.33105,0.01889566,0.02360783,0,1, 0, 0, 0,1
10,19.35446,0.01889566,0.02360783,0,1, 0, 0, 0,1
11,19.37801,0.01889566,0.02360783,0,1, 0, 0, 0,1
12,19.40041,0.01889566,0.02360783,0,1, 0, 0, 0,1
13,19.42461,0.01889566,0.02360783,0,1, 0, 0, 0,1
14,19.44777,0.01889566,0.02360783,0,1, 0, 0, 0,1
15,19.47046,0.01889566,0.02360783,0,1, 0, 0, 0,1
16,19.49455,0.01889566,0.02360783,0,1, 0, 0, 0,1
17,19.51816,0.01889566,0.02360783,0,1, 0, 0, 0,1
18,19.54277,0.01889566,0.02360783,0,1, 0, 0, 0,1
19,19.56554,0.01889566,0.02360783,0,1, 0, 0, 0,1
20,19.5886,0.01889566,0.02360783,0,1, 0, 0, 0,1
21,19.6124,0.01889566,0.02360783,0,1, 0, 0, 0,1
22,19.63595,0.01889566,0.02360783,0,1, 0, 0, 0,1
23,19.65871,0.01889566,0.02360783,0,1, 0, 0, 0,1
24,19.68191,0.01889566,0.02360783,0,1, 0, 0, 0,1
25,19.70714,0.01889566,0.02360783,0,1, 0, 0, 0,1
26,19.72972,0.01889566,0.02360783,0,1, 0, 0, 0,1
27,19.75246,0.01889566,0.02360783,0,1, 0, 0, 0,1
28,19.7785,0.01889566,0.02360783,0,1, 0, 0, 0,1
29,19.80134,0.01889566,0.02360783,0,1, 0, 0, 0,1
30,19.82614,0.01889566,0.02360783,0,1, 0, 0, 0,1
31,19.84857,0.01889566,0.02360783,0,1, 0, 0, 0,1
32,19.87068,0.01889566,0.02360783,0,1, 0, 0, 0,1
33,19.8948,0.01889566,0.02360783,0,1, 0, 0, 0,1
34,19.91889,0.01889566,0.02360783,0,1, 0, 0, 0,1
35,19.9418,0.01889566,0.02360783,0,1, 0, 0, 0,1
36,19.9644,0.01889566,0.02360783,0,1, 0, 0, 0,1
37,19.98829,0.01889566,0.02360783,0,1, 0, 0, 0,1
38,20.01108,0.01889566,0.02360783,0,1, 0, 0, 0,1
39,20.03541,0.01889566,0.02360783,0,1, 0, 0, 0,1
40,20.05867,0.01889566,0.02360783,0,1, 0, 0, 0,1
41,20.08186,0.01889566,0.02360783,0,1, 0, 0, 0,1
42,20.10465,0.01889566,0.02360783,0,1, 0, 0, 0,1
43,20.12836,0.01889566,0.02360783,0,1, 0, 0, 0,1
44,20.15356,0.01889566,0.02360783,0,1, 0, 0, 0,1
45,20.17633,0.01889566,0.02360783,0,1, 0, 0, 0,1
46,20.19962,0.01889566,0.02360783,0,1, 0, 0, 0,1
47,20.22259,0.01889566,0.02360783,0,1, 0, 0, 0,1
48,20.24655,0.01889566,0.02360783,0,1, 0, 0, 0,1
49,20.26921,0.01889566,0.02360783,0,1, 0, 0, 0,1
50,20.30151,0.01889566,0.02360783,0,1, 0, 0, 0,1
51,20.32889,0.01889566,0.02360783,0,1, 0, 0, 0,1
52,20.35559,0.01889566,0.02360783,0,1, 0, 0, 0,1
53,20.39193,0.01889566,0.02360783,0,1, 0, 0, 0,1
54,20.43374,0.01889566,0.02360783,0,1, 0, 0, 0,1
55,20.45761,0.01889566,0.02360783,0,1, 0, 0, 0,1
56,20.48047,0.01889566,0.02360783,0,1, 0, 0, 0,1
57,20.50323,0.01889566,0.02360783,0,1, 0, 0, 0,1
58,20.52768,0.01889566,0.02360783,0,1, 0, 0, 0,1
59,20.55446,0.01889566,0.02360783,0,1, 0, 0, 0,1
60,20.57911,0.01889566,0.02360783,0,1, 0, 0, 0,1
61,20.60397,0.01889566,0.02360783,0,1, 0, 0, 0,1
62,20.63371,0.01889566,0.02360783,0,1, 0, 0, 0,1
63,20.66001,0.01889566,0.02360783,0,1, 0, 0, 0,1
64,20.69072,0.01889566,0.02360783,0,1, 0, 0, 0,1
65,20.71612,0.01889566,0.02360783,0,1, 0, 0, 0,1
66,20.74329,0.01889566,0.02360783,0,1, 0, 0, 0,1
67,20.76625,0.01889566,0.02360783,0,1, 0, 0, 0,1
68,20.79296,0.01889566,0.02360783,0,1, 0, 0, 0,1
69,20.81958,0.01889566,0.02360783,0,1, 0, 0, 0,1
70,20.84527,0.01889566,0.02360783,0,1, 0, 0, 0,1
71,20.87281,0.01889566,0.02360783,0,1, 0, 0, 0,1
72,20.90217,0.01889566,0.02360783,0,1, 0, 0, 0,1
73,20.93162,0.01889566,0.02360783,0,1, 0, 0, 0,1
74,20.95385,0.01889566,0.02360783,0,1, 0, 0, 0,1
75,20.98018,0.01889566,0.02360783,0,1, 0, 0, 0,1
76,21.00444,0.01889566,0.02360783,0,1, 0, 0, 0,1
77,21.028,0.01889566,0.02360783,0,1, 0, 0, 0,1
78,21.05091,0.01889566,0.02360783,0,1, 0, 0, 0,1
79,21.07627,0.01889566,0.02360783,0,1, 0, 0, 0,1
80,21.09956,0.01889566,0.02360783,0,1, 0, 0, 0,1
81,21.12587,0.01889566,0.02360783,0,1, 0, 0, 0,1
82,21.14956,0.01889566,0.02360783,0,1, 0, 0, 0,1
83,21.17338,0.01889566,0.02360783,0,1, 0, 0, 0,1
