frame,t,hand,p_x,p_y,p_z,qw,qx,qy,qz,is_open,close_event,open_event,box_x,box_y,box_z,center_x,center_y,center_z,enable_squeeze,squeeze_amount,squeeze_alpha_step
13,4.269854,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
13,4.269854,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
14,4.289404,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
14,4.289404,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
15,4.309704,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
15,4.309704,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
16,4.336658,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
16,4.336658,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
17,4.35638,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
17,4.35638,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
18,4.375645,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
18,4.375645,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
19,4.394952,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
19,4.394952,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
20,4.414364,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
20,4.414364,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
21,4.434201,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
21,4.434201,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
22,4.453418,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
22,4.453418,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
23,4.472853,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
23,4.472853,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
24,4.492496,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
24,4.492496,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
25,4.512126,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
25,4.512126,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
26,4.532136,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
26,4.532136,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
27,4.551633,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
27,4.551633,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
28,4.571348,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
28,4.571348,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
29,4.59085,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
29,4.59085,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
30,4.611108,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
30,4.611108,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
31,4.630703,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
31,4.630703,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
32,4.650425,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
32,4.650425,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
33,4.669938,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
33,4.669938,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
34,4.689348,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
34,4.689348,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
35,4.708983,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
35,4.708983,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
36,4.728555,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
36,4.728555,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
37,4.748249,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
37,4.748249,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
38,4.76783,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
38,4.76783,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
39,4.787552,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
39,4.787552,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
40,4.806882,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
40,4.806882,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
41,4.826342,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
41,4.826342,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
42,4.845586,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
42,4.845586,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
43,4.865434,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
43,4.865434,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
44,4.884782,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
44,4.884782,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
45,4.904362,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
45,4.904362,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
46,4.92379,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
46,4.92379,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
47,4.943223,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
47,4.943223,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
48,4.962265,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
48,4.962265,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
49,4.981421,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
49,4.981421,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
50,5.000746,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
50,5.000746,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
51,5.020122,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
51,5.020122,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
52,5.039129,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
52,5.039129,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
53,5.058452,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
53,5.058452,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
54,5.077762,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
54,5.077762,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
55,5.097139,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
55,5.097139,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
56,5.117156,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
56,5.117156,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
57,5.136976,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
57,5.136976,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
58,5.157483,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
58,5.157483,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
59,5.178067,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
59,5.178067,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
60,5.198363,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
60,5.198363,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
61,5.218971,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
61,5.218971,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
62,5.238563,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
62,5.238563,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
63,5.258758,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
63,5.258758,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
64,5.278204,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
64,5.278204,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
65,5.297822,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
65,5.297822,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
66,5.316837,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
66,5.316837,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
67,5.336261,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
67,5.336261,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
68,5.3557,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
68,5.3557,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
69,5.374889,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
69,5.374889,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
70,5.394413,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
70,5.394413,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
71,5.413781,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
71,5.413781,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
72,5.43297,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
72,5.43297,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
73,5.452109,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
73,5.452109,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
74,5.471819,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
74,5.471819,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
75,5.491896,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
75,5.491896,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
76,5.511584,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
76,5.511584,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
77,5.531382,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
77,5.531382,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
78,5.550537,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
78,5.550537,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
79,5.569828,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
79,5.569828,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
80,5.589296,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
80,5.589296,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
81,5.608928,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
81,5.608928,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
82,5.627966,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
82,5.627966,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
83,5.647864,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
83,5.647864,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
84,5.66708,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
84,5.66708,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
85,5.686633,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
85,5.686633,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
86,5.705946,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
86,5.705946,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
87,5.725286,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
87,5.725286,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
88,5.744526,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
88,5.744526,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
89,5.764202,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
89,5.764202,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
90,5.783657,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
90,5.783657,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
91,5.80303,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
91,5.80303,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
92,5.822814,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
92,5.822814,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
93,5.842548,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
93,5.842548,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
94,5.86198,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
94,5.86198,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
95,5.881836,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
95,5.881836,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
96,5.901133,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
96,5.901133,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
97,5.920651,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
97,5.920651,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
98,5.939893,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
98,5.939893,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
99,5.95951,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
99,5.95951,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
100,5.978747,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
100,5.978747,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
101,5.997996,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
101,5.997996,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
102,6.017141,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
102,6.017141,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
103,6.04249,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
103,6.04249,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
104,6.065644,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
104,6.065644,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
105,6.095911,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
105,6.095911,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
106,6.131354,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
106,6.131354,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
107,6.150933,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
107,6.150933,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
108,6.174364,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
108,6.174364,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
109,6.193857,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
109,6.193857,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
110,6.213518,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
110,6.213518,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
111,6.233144,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
111,6.233144,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
112,6.253239,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
112,6.253239,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
113,6.273991,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
113,6.273991,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
114,6.293665,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
114,6.293665,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
