node_index,x,y,z
269,0.42,0.595,0
270,0.42,0.63,0
271,0.42,0.665,0
272,0.42,0.7,0
273,0.455,0,0
274,0.455,0.035,0
275,0.455,0.07,0
276,0.455,0.105,0
277,0.455,0.14,0
278,0.455,0.175,0
279,0.455,0.21,0
280,0.455,0.245,0
281,0.455,0.28,0
282,0.455,0.315,0
283,0.455,0.35,0
284,0.455,0.385,0
285,0.455,0.42,0
286,0.455,0.455,0
287,0.455,0.49,0
288,0.455,0.525,0
289,0.455,0.56,0
290,0.455,0.595,0
291,0.455,0.63,0
292,0.455,0.665,0
293,0.455,0.7,0
294,0.49,0,0
295,0.49,0.035,0
296,0.49,0.07,0
297,0.49,0.105,0
298,0.49,0.14,0
299,0.49,0.175,0
300,0.49,0.21,0
301,0.49,0.245,0
302,0.49,0.28,0
303,0.49,0.315,0
304,0.49,0.35,0
305,0.49,0.385,0
306,0.49,0.42,0
307,0.49,0.455,0
308,0.49,0.49,0
309,0.49,0.525,0
310,0.49,0.56,0
311,0.49,0.595,0
312,0.49,0.63,0
313,0.49,0.665,0
314,0.49,0.7,0
315,0.525,0,0
316,0.525,0.035,0
317,0.525,0.07,0
318,0.525,0.105,0
319,0.525,0.14,0
320,0.525,0.175,0
321,0.525,0.21,0
322,0.525,0.245,0
323,0.525,0.28,0
324,0.525,0.315,0
325,0.525,0.35,0
326,0.525,0.385,0
327,0.525,0.42,0
328,0.525,0.455,0
329,0.525,0.49,0
330,0.525,0.525,0
331,0.525,0.56,0
332,0.525,0.595,0
333,0.525,0.63,0
334,0.525,0.665,0
335,0.525,0.7,0
336,0.56,0,0
337,0.56,0.035,0
338,0.56,0.07,0
339,0.56,0.105,0
340,0.56,0.14,0
341,0.56,0.175,0
342,0.56,0.21,0
343,0.56,0.245,0
344,0.56,0.28,0
345,0.56,0.315,0
346,0.56,0.35,0
347,0.56,0.385,0
348,0.56,0.42,0
349,0.56,0.455,0
350,0.56,0.49,0
351,0.56,0.525,0
352,0.56,0.56,0
